Accession	Target of assay	Filename	Date released	Date submitted
ENCSR664FGR	GPBP1L1	ENCFF019SZJ	2020-06-30	2019-07-31
ENCSR842SRB	ZNF350	ENCFF518ZKO	2020-08-17	2019-07-31
ENCSR347PUQ	ZXDC	ENCFF044XYZ	2020-06-30	2019-07-31
ENCSR707RKU	RORA	ENCFF044VTI	2020-06-30	2019-07-31
ENCSR123GPC	THAP9	ENCFF858SAF	2020-08-21	2019-07-31
ENCSR039CUX	PLSCR1	ENCFF991XSG	2020-06-30	2019-07-31
ENCSR264SRY	ZNF512	ENCFF233OIC	2020-08-17	2019-07-31
ENCSR862LJQ	ZNF296	ENCFF959TJF	2020-06-30	2019-07-31
ENCSR799FCZ	CREM	ENCFF023EDF	2020-07-09	2019-07-10
ENCSR798KXG	TBP	ENCFF196KRF	2020-07-14	2019-07-08
ENCSR188EMJ	SNAI1	ENCFF179LFO	2020-07-14	2019-07-08
ENCSR607XFI	CTCF	ENCFF664UGR	2020-07-14	2019-07-08
ENCSR076KLJ	ZNF276	ENCFF451VTH	2020-07-08	2019-07-08
ENCSR583KLD	TEF	ENCFF475HLY	2020-07-14	2019-07-08
ENCSR647CXR	NKX3-1	ENCFF435AEQ	2020-07-14	2019-07-08
ENCSR855XFL	CREB3	ENCFF767ZRB	2020-07-14	2019-07-08
ENCSR895KNN	DZIP1	ENCFF015STD	2020-07-09	2019-07-08
ENCSR171KUL	ZNF513	ENCFF422MYG	2020-07-14	2019-07-08
ENCSR622AMZ	ZNF761	ENCFF670IOD	2020-07-08	2019-07-08
ENCSR365YCX	RNF219	ENCFF926UHP	2020-07-01	2019-07-08
ENCSR608XRC	ZNF526	ENCFF753CVD	2020-07-08	2019-07-08
ENCSR753KZY	SATB2	ENCFF004LNW	2020-07-14	2019-07-08
ENCSR514RAH	RARG	ENCFF909XQR	2020-07-08	2019-07-08
ENCSR248WAU	ZNF772	ENCFF874HXM	2020-07-01	2019-07-08
ENCSR020CLV	ZNF891	ENCFF903IZG	2020-07-09	2019-07-08
ENCSR359TWG	HOXD1	ENCFF647VJL	2020-07-14	2019-07-08
ENCSR946PKH	ZNF678	ENCFF678IWM	2020-07-08	2019-07-08
ENCSR130ZAR	ZNF691	ENCFF296WYX	2020-07-08	2019-07-08
ENCSR141ELR	ZNF778	ENCFF078ATH	2020-07-14	2019-07-08
ENCSR669PVF	ZNF597	ENCFF464WKR	2020-07-14	2019-07-02
ENCSR014HQD	ZNF382	ENCFF524CCS	2020-07-01	2019-05-09
ENCSR363ASY	ZNF629	ENCFF034RYJ	2020-07-14	2019-05-09
ENCSR559ZKI	NR2C2	ENCFF042QSE	2020-07-08	2019-05-08
