Accession	Target of assay	Filename	Date released	Date submitted
ENCSR995FUM	ZNF79	ENCFF670RLH	2020-08-03	2018-12-21
ENCSR959BQO	ZNF700	ENCFF208OME	2020-08-03	2018-12-21
ENCSR574VJG	NFIX	ENCFF726LLI	2020-08-03	2018-12-21
ENCSR405KTQ	HEY1	ENCFF180KAV	2020-08-03	2018-12-19
ENCSR918EFA	ZNF57	ENCFF945IST	2020-08-03	2018-01-13
ENCSR126YJQ	HMG20A	ENCFF118ATD	2020-08-03	2018-01-13
ENCSR026KKZ	ZBTB17	ENCFF292HSS	2020-08-03	2018-01-13
ENCSR643JRH	MAZ	ENCFF389FLV	2020-08-03	2018-01-13
ENCSR236JZN	ZNF586	ENCFF887ZDT	2020-08-03	2018-01-13
ENCSR630KQP	ZNF250	ENCFF598QEL	2020-08-03	2018-01-13
ENCSR231ZVN	FOXA3	ENCFF504WWL	2020-08-03	2018-01-13
ENCSR998OMC	TFCP2	ENCFF392MAR	2020-08-03	2018-01-13
ENCSR870YEN	ZSCAN32	ENCFF537HHU	2020-08-03	2018-01-13
ENCSR972CVS	ELK3	ENCFF198NGY	2020-08-03	2018-01-13
ENCSR187RGF	ZNF695	ENCFF493LZB	2020-08-03	2018-01-13
ENCSR783EPA	TBPL1	ENCFF927NEU	2020-08-03	2018-01-13
ENCSR110JLQ	ZNF778	ENCFF165JQS	2020-08-03	2018-01-13
ENCSR426PTT	FOXO4	ENCFF750AGR	2020-08-03	2018-01-13
ENCSR617POJ	ZFP1	ENCFF795AWO	2020-08-03	2018-01-13
ENCSR335SUD	ZNF436	ENCFF318ZUN	2020-08-03	2018-01-13
ENCSR376XAV	SMAD3	ENCFF718DSJ	2020-08-03	2018-01-13
ENCSR350GZC	ZNF561	ENCFF701RWL	2020-08-03	2018-01-13
ENCSR590FLL	ZNF347	ENCFF843NBV	2020-08-03	2018-01-13
ENCSR967AVR	ZBTB5	ENCFF382IYX	2020-08-03	2018-01-13
ENCSR591ASD	TEAD1	ENCFF692HUD	2020-08-03	2018-01-13
ENCSR119FAD	DEAF1	ENCFF030AXK	2020-08-03	2018-01-13
ENCSR054JMQ	REST	ENCFF118ECK	2020-07-08	2018-01-13
ENCSR536CBU	ZBTB9	ENCFF588CXX	2020-08-03	2018-01-13
ENCSR953KEY	TFE3	ENCFF592NJN	2020-08-03	2018-01-13
ENCSR099MNR	ZNF75A	ENCFF307UZC	2020-08-03	2018-01-13
ENCSR002ZGC	ZNF212	ENCFF435MHH	2020-08-03	2018-01-13
ENCSR376UMR	ZNF84	ENCFF014HYS	2020-08-03	2017-07-19
ENCSR985OYK	ZBTB11	ENCFF227HVU	2021-01-06	2017-07-19
ENCSR387BVC	DDIT3	ENCFF869RFC	2020-08-03	2017-07-19
ENCSR475ZYA	OTX1	ENCFF245JPK	2022-02-11	2017-07-19
ENCSR504HOI	SRF	ENCFF716OTE	2022-01-25	2017-07-19
ENCSR873LYH	MLX	ENCFF171ZNN	2020-08-03	2017-07-19
ENCSR128KLX	NR2F6	ENCFF647RGI	2020-07-08	2017-07-19
ENCSR829UCH	NFXL1	ENCFF201WFM	2021-08-26	2017-07-19
ENCSR241LIH	AFF1	ENCFF674XTY	2018-01-26	2017-05-02
ENCSR512NLO	MNT	ENCFF440AQF	2017-05-17	2017-05-02
ENCSR664AOA	TRIM25	ENCFF110HVI	2018-01-26	2017-04-12
ENCSR249BHQ	ZNF592	ENCFF847QJI	2017-05-17	2017-04-12
ENCSR547LKC	GATAD2B	ENCFF388KGW	2017-05-17	2017-04-12
ENCSR718SDE	RLF	ENCFF752VQB	2018-01-26	2017-02-28
ENCSR325DER	NR3C1	ENCFF961ADR	2018-01-26	2017-02-22
ENCSR669NFS	ARNT	ENCFF075OIT	2018-01-26	2017-02-22
ENCSR898XMH	ZFP91	ENCFF835PDO	2018-01-31	2017-02-22
ENCSR171CAY	E2F7	ENCFF938ZPZ	2017-05-17	2017-02-17
ENCSR670FDA	NFATC3	ENCFF778UHP	2017-09-29	2017-02-17
ENCSR120MPG	PRDM10	ENCFF405BKB	2018-01-26	2017-02-17
ENCSR030TJP	DACH1	ENCFF729DNM	2018-01-26	2017-02-17
ENCSR024CNP	EGR1	ENCFF136DDO	2017-05-17	2017-02-17
ENCSR832OGB	LEF1	ENCFF689HWD	2017-05-17	2017-02-16
ENCSR492LTS	BCLAF1	ENCFF725JXZ	2017-02-02	2017-01-27
ENCSR571BUF	ARHGAP35	ENCFF952WKN	2018-01-26	2017-01-26
ENCSR819LHG	FOXA1	ENCFF497OQD	2016-11-17	2016-10-31
ENCSR028UIU	ATF3	ENCFF556SMM	2016-07-08	2016-07-07
ENCSR490LWA	CEBPG	ENCFF456USL	2017-04-14	2016-05-26
ENCSR439OCL	ZNF407	ENCFF015FXW	2018-01-26	2016-05-13
ENCSR621ATC	ZNF184	ENCFF058VGZ	2018-01-26	2016-05-13
ENCSR230PTV	ZBTB2	ENCFF209DVO	2016-12-19	2016-05-13
ENCSR175SZH	ZSCAN29	ENCFF151WYQ	2016-10-31	2016-05-13
ENCSR200JYP	ZNF316	ENCFF451AEQ	2017-02-03	2016-05-13
ENCSR949NVY	ZNF639	ENCFF669VJB	2018-01-26	2016-05-13
ENCSR494PWZ	ZC3H8	ENCFF045AOZ	2016-10-31	2016-05-13
ENCSR744WOO	TCF12	ENCFF808QUD	2016-10-24	2016-05-12
ENCSR532EMP	ZNF740	ENCFF004YCK	2016-08-24	2016-05-12
ENCSR957LDM	TRIM24	ENCFF597YMB	2016-09-27	2016-05-12
